CODE,LAB_NAME,LOCATION,PARENT_CODE
HAM,Hamburg,Germany,
HAR,Harwell,England,
Hd,Heidelberg,Germany,
Hel,Helsinki,Finland,
Hela,Helsinki AMS,Finland,
HIG,Hawaii Inst. of Geophys.,USA,
HL,Second Institute of Oceanography,China,
HNS,"Hasleton-Nuclear, Palo Alto, California",USA,
Hv,Hannover,Germany,
I,Teledyne Isotopes,USA,
IAA,Institute of Accelerator Analysis (beta counting),Japan,
IAAA,Institute of Accelerator Analysis (AMS),Japan,
IAEA,International Atomic Energy Agency,Austria,
IAEAMEL,Marine Environmental Laboratory,Monaco,
ICA,International Chemical Analysis,USA,
ICEN,Instituto Tecnológico e Nuclear,Portugal,
IEMAE,Institute of Evolutionary Morphology and Animal Ecology,Russia,
IFAO,Institut français d'archéologie orientale,Egypt,
IGAN,Institute of Geography,Russia,
IGME,Marzeey Inst. Of Hygeine and Medical Ecology,Ukraine,
IGS,Inst. Of Geological Sci.,Belarus,
IGS,Inst. of Geological Sci.,Sweden,
IGSB,Inst. of Geological Sci.,Belarus,
IHME,The Marzeev Institute of Hygiene and Medical Ecology,Ukraine,
II,"Isotopes, Inc., Palo Alto",USA,
IMTA,Instituto Mexicano de Tecnología del Agua (IMTA),Mexico,
IOAN,Institute of Oceanography,Russia,
IORAN,Institute of Oceanology,Russia,
IRPA,Royal Institute of Cultural Heritage,Belgium,
ISGS,Illinois State Geological Survey,USA,
IUACD,Inter University Accelerator Center,India,
IVAN,Institute of Volcanology,Ukraine,
IVIC,Caracas,Venezuela,
IWP,Institute of Water Problems,Russia,
JAT,"Tono Geoscience Center, Japan Atomic Energy Agency (JAEA)",Japan,
JGS,Geological Survey of Japan,Japan,
JUBR,Biren Roy Research Laboratory,India,
K,National Museum,Denmark,
KAERI,Korean Atomic Energy Research Institute,Korea,
KATRI,Korea Appael Testing,S. Korea,
KCP,National Cultural Property Research Institute,Korea,
KEEA,Kyushu Environmental Evaluation Association,Japan,
KGM,Korea Institute of Geoscience and Mineral Resources (KIGAM),Korea,
Ki,Institute of Radio-Geochemistry of the Environment,Ukraine,
KI,Kiel,Germany,
Ki (KIEV),Institute of Radio Geochemistry of the Environment,Ukraine,
KIA,Kiel AMS,Germany,
Kiev,Institute of Radio-Geochemistry of the Environment,Ukraine,
KIK,Royal Institute for Cultural Heritage,Belgium,
KN,Köln,Germany,
KR,Krakow,Poland,
KRIL,Krasnoyarsk Institute,Russia,
KSU,Kyoto Sangyo University,Japan,
L,Lamont-Doherty,USA,
LACUFF,Fluminense Federal University,Brazil,
LAEC,Lebanese Atomic Energy Commission (LAEC),Lebanon,
LAR,Liège State University,Belgium,
LE,St. Petersburg,Russia,
LEMA,Lab. De Espectrometria de Masas con Aceleradores,Mexico,
LIH,"Lab. of Isotope Hydrology, NCSR Demokritos",Greece,
LJ,Scripps (UCSD) La Jolla,USA,
LJH,Scripps (UCSD) La Jolla,USA,
LOD,Lodz,Poland,
LP,La Plata,Argentina,
